0, 0, Header, 1, 9, 960
1, 0, Start_track
1, 0, Title_t, "Autumn Leaves"
1, 0, Text_t, "Doug McKenzie\012"
1, 0, Text_t, "dougmck@tpg.com.au\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 324324
1, 2040, Marker_t, "First chorus - bass in '2' - piano leaves lots of space"
1, 13456, Marker_t, "No sustain pedal used"
1, 23040, Marker_t, "LH jabs chords in more or less regular pattern just before '1' and just before '3'"
1, 58547, Marker_t, "'Surround' tones on A (the 9th) then finally on G (root) then D (5th)"
1, 84518, Marker_t, "On F7 - play from F chromatically up to tritone (B) back a m3rd (Ab) up a tritone (D) etc"
1, 97680, Marker_t, "Many melodic phrases are chord tones  'enclosed' with upper and lower neighbors"
1, 148762, Marker_t, "This is just an arbitary pattern - can be imposed on any chord -as long as it resolves smoothly "
1, 166888, Marker_t, "Typical Bill Evans-ish arpeggio like pattern on BbMaj 7 to EbMaj7"
1, 176640, Marker_t, "Simple melodic phrase can be enhanced by repeating each note in a regular rhythm"
1, 209672, Marker_t, "4 note pattern repeats moving down (more or less) in scale steps "
1, 234240, Marker_t, "Basic triad chord tones played rhythmically"
1, 239741, Marker_t, "Same melodic/rhythmic idea repeated diatonically  on another chord"
1, 245842, Marker_t, "Same rhythm begins the next chorus, but seamlessly moves into other melodic ideas"
1, 249600, Marker_t, "Rhythm section maves away from '2' feel - bass walks more regularly"
1, 253080, Marker_t, "The note C is used as a 'pivot' tone repeated  betwwen other notes"
1, 284160, Marker_t, "the F7 is played as a #9 chord"
1, 288000, Marker_t, "Same for Bbmaj7 - is played as Bb7#9"
1, 315897, Marker_t, "On D7, the notes of an E triad are used melodically"
1, 327328, Marker_t, "Diatonic thirds up the keyboard - volume increasing"
1, 364808, Marker_t, "Black notes under some chord tones can be used to slide into the chord"
1, 370160, Marker_t, "Next chorus back to '2' feel"
1, 424288, Marker_t, "Chord tones enclosed by neighbors weave around for this longer phrase"
1, 453120, Marker_t, "On this F7, a brief switch to E Major pentatonic adds a bit of spice!"
1, 465284, Marker_t, "A simple 3 note phrase is repeated with increasing intensity"
1, 486616, Marker_t, "More of the chords 'dirtied up' a bit with black note lower neighbors"
1, 505567, Marker_t, "Another brief move into unrelated pentatonic (E) then quickly resolved back in key"
1, 516376, Marker_t, "Another more or less arbitary pattern unrelated to the underlying harmony"
1, 533931, Marker_t, "2 notes (more or less chord tones) play in regular rhythmic pattern"
1, 558416, Marker_t, "Another chromatic type phrase is shifted down in scale steps"
1, 616225, Marker_t, "Octave tremolo is effective to sustain a note and give it 'character'"
1, 625964, Marker_t, "Some wrong notes (an E triad) add spice"
1, 633600, Marker_t, "This phrase's integrity comes just from its strong angular shape ..."
