0, 0, Header, 1, 8, 120
1, 0, Start_track
1, 0, Title_t, "All The Things You Are"
1, 0, Text_t, "Jerome Kern\012"
1, 0, Text_t, "First chorus based on some harmonic ideas as played by Richie Beirach on his Maybeck Hall album.\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 461538
1, 366, Marker_t, "On E/Gb Lh plays Gb and R Hand plays E triad arpeggios"
1, 2959, Marker_t, "Gb lydian (i.e Db Major scale) on Fm7/Gb"
1, 6986, Marker_t, "First chorus - out of tempo - starts here"
1, 7214, Marker_t, "Bass descends chromatically over next 4 bars."
1, 7800, Marker_t, "Chord choice is more or less governed by the melody note at that point."
1, 10983, Marker_t, "Next four bars Root moves down in steps agin."
1, 14628, Marker_t, "Root again descends chromatically from Db"
1, 22080, Marker_t, "Bridge - another descending chromatic root  movement for the next 7 bars"
1, 30166, Marker_t, "Last 10 bars uses the usual chords"
1, 37920, Tempo, 315789
1, 40216, Marker_t, "Return to Intro to finish 1st chorus"
1, 48480, Marker_t, "Bass and Drums in tempo"
1, 48984, Marker_t, "Bass and piano play contrapuntally"
1, 49920, Marker_t, "Piano Rh and LH in unison an Octave apart"
1, 58080, Marker_t, "RH and LH a tenth apart"
1, 60208, Marker_t, "Back to RH and LH an octave apart"
1, 65760, Marker_t, "On new chorus, chord stabs with LH over single note RH line"
1, 67352, Marker_t, "Bass plays more, but still doesn't walk in 4"
1, 76668, Marker_t, "Whole Tone scale based figure over C7alt (=C7+)"
1, 83040, Marker_t, "On final chorus, piano plays more 'chordally', bass walks"
1, 94080, Marker_t, "Another Whole Tone figure spills over into the next bar briefly"
1, 99360, Marker_t, "Back to the Intro figure - and fade"
1, 99360, End_track
2, 0, Start_track
2, 0, Title_t, ""
2, 0, Program_c, 0, 0
2, 193, Control_c, 0, 64, 127
2, 411, Note_on_c, 0, 42, 38
2, 412, Note_on_c, 0, 68, 50
2, 414, Note_on_c, 0, 64, 56
2, 431, Control_c, 0, 64, 0
2, 472, Control_c, 0, 64, 127
2, 520, Note_on_c, 0, 42, 0
2, 523, Note_on_c, 0, 52, 39
2, 601, Note_on_c, 0, 52, 0
2, 614, Note_on_c, 0, 56, 35
2, 617, Note_on_c, 0, 59, 47
2, 624, Note_on_c, 0, 68, 0
2, 627, Note_on_c, 0, 64, 0
2, 631, Note_on_c, 0, 59, 0
2, 705, Note_on_c, 0, 59, 39
2, 775, Note_on_c, 0, 59, 0
2, 782, Note_on_c, 0, 64, 40
2, 788, Note_on_c, 0, 68, 77
2, 789, Note_on_c, 0, 76, 76
2, 874, Note_on_c, 0, 64, 0
2, 884, Note_on_c, 0, 59, 37
2, 969, Note_on_c, 0, 59, 0
2, 980, Note_on_c, 0, 71, 45
2, 989, Note_on_c, 0, 64, 39
2, 1086, Note_on_c, 0, 59, 32
2, 1132, Note_on_c, 0, 64, 0
2, 1163, Note_on_c, 0, 76, 0
2, 1180, Note_on_c, 0, 71, 0
2, 1180, Note_on_c, 0, 59, 0
2, 1193, Note_on_c, 0, 68, 0
2, 1195, Note_on_c, 0, 64, 28
2, 1203, Note_on_c, 0, 56, 0
2, 1258, Note_on_c, 0, 64, 0
2, 1269, Note_on_c, 0, 71, 66
2, 1346, Note_on_c, 0, 68, 33
2, 1346, Note_on_c, 0, 59, 40
2, 1348, Note_on_c, 0, 42, 37
2, 1348, Note_on_c, 0, 64, 50
2, 1369, Control_c, 0, 64, 0
2, 1411, Control_c, 0, 64, 127
2, 1424, Note_on_c, 0, 52, 44
2, 1429, Note_on_c, 0, 42, 0
2, 1454, Note_on_c, 0, 52, 0
2, 1482, Note_on_c, 0, 59, 0
2, 1499, Note_on_c, 0, 56, 70
2, 1506, Note_on_c, 0, 64, 0
2, 1579, Note_on_c, 0, 59, 75
2, 1653, Note_on_c, 0, 59, 0
2, 1661, Note_on_c, 0, 68, 0
2, 1674, Note_on_c, 0, 64, 50
2, 1681, Note_on_c, 0, 71, 0
2, 1681, Note_on_c, 0, 59, 35
2, 1782, Note_on_c, 0, 56, 0
2, 1782, Note_on_c, 0, 71, 50
2, 1844, Note_on_c, 0, 64, 0
2, 1868, Note_on_c, 0, 59, 0
2, 1952, Note_on_c, 0, 71, 0
2, 2045, Note_on_c, 0, 42, 37
2, 2048, Note_on_c, 0, 68, 35
2, 2049, Note_on_c, 0, 60, 41
2, 2049, Note_on_c, 0, 65, 44
2, 2068, Control_c, 0, 64, 0
2, 2123, Control_c, 0, 64, 127
2, 2158, Note_on_c, 0, 53, 45
2, 2159, Note_on_c, 0, 42, 0
2, 2239, Note_on_c, 0, 60, 0
2, 2261, Note_on_c, 0, 56, 42
2, 2267, Note_on_c, 0, 53, 0
2, 2335, Note_on_c, 0, 65, 0
2, 2341, Note_on_c, 0, 68, 0
2, 2344, Note_on_c, 0, 60, 38
2, 2361, Note_on_c, 0, 60, 0
2, 2412, Note_on_c, 0, 72, 57
2, 2461, Note_on_c, 0, 60, 22
2, 2543, Note_on_c, 0, 65, 42
2, 2595, Note_on_c, 0, 60, 0
2, 2631, Note_on_c, 0, 65, 0
2, 2636, Note_on_c, 0, 60, 34
2, 2662, Note_on_c, 0, 60, 0
2, 2666, Note_on_c, 0, 56, 0
2, 2731, Note_on_c, 0, 42, 42
2, 2800, Note_on_c, 0, 42, 0
2, 2808, Note_on_c, 0, 53, 43
2, 2816, Control_c, 0, 64, 127
2, 2837, Control_c, 0, 64, 0
2, 2839, Note_on_c, 0, 42, 36
2, 2843, Note_on_c, 0, 53, 0
2, 2960, Note_on_c, 0, 53, 34
2, 2993, Note_on_c, 0, 54, 46
2, 2996, Note_on_c, 0, 53, 0
2, 3004, Control_c, 0, 64, 127
2, 3026, Note_on_c, 0, 60, 33
2, 3026, Note_on_c, 0, 56, 53
2, 3036, Note_on_c, 0, 54, 0
2, 3053, Note_on_c, 0, 58, 63
2, 3061, Note_on_c, 0, 56, 0
