0, 0, Header, 1, 2, 120
1, 0, Start_track
1, 0, Title_t, "  Easy To Love"
1, 0, Text_t, "Cole Porter\012"
1, 0, Text_t, "This relies heavily on a version done by Adam Makowicz in the Maybeck Hall series of concerts. \012"
1, 0, Text_t, "The introduction moves through 3 fairly unrelated minor keys (modes) - improvising freely on dorian type modes (Bb dorian, Gb dorian and Cb dorian), setting up the theme which also moves ambiguously into and out of key (F) in the first 16 bars. The theme\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 461538
1, 0, Marker_t, "The introduction moves through 3 fairly unrelated minor keys (modes), "
1, 480, Marker_t, "This sets up the theme which also moves ambiguously into and out of key."
1, 8270, Marker_t, "The theme begins in Bm (instead of Gm) for 3 bars, then through Ab in bar 4, home to F in bar 5"
1, 11520, Marker_t, " In Bars 5 and 6 the melody moves in half steps,"
1, 12483, Marker_t, "THis makes it an ideal situation to harmonize each note separately with a quartal type of chord ."
1, 15856, Marker_t, " A similar device using Augmented triads is used in bar11 and 12 of the song"
1, 18725, Marker_t, " In the turnaround, in bars 15 & 16, , the melody note (E) is reharmonized with an  A Maj7 chord. "
1, 20278, Marker_t, "Second half of song begins  - in tempo"
1, 39923, Marker_t, "Walking bass added on 2nd chorus"
1, 51945, Marker_t, "Ending similar to intro"
1, 51945, End_track
2, 0, Start_track
2, 0, Title_t, "Track 1"
2, 0, Control_c, 0, 7, 127
2, 0, Control_c, 0, 10, 64
2, 92, Note_on_c, 0, 46, 51
2, 195, Control_c, 0, 64, 127
2, 208, Note_on_c, 0, 53, 41
2, 234, Note_on_c, 0, 46, 0
2, 295, Note_on_c, 0, 60, 57
2, 373, Note_on_c, 0, 61, 67
2, 398, Note_on_c, 0, 61, 29
2, 417, Note_on_c, 0, 61, 0
2, 422, Note_on_c, 0, 61, 0
2, 423, Note_on_c, 0, 63, 47
2, 443, Note_on_c, 0, 63, 0
2, 452, Note_on_c, 0, 65, 64
2, 462, Note_on_c, 0, 63, 85
2, 483, Note_on_c, 0, 67, 74
2, 488, Note_on_c, 0, 65, 0
2, 505, Note_on_c, 0, 60, 0
2, 509, Note_on_c, 0, 68, 71
2, 516, Note_on_c, 0, 53, 0
2, 520, Note_on_c, 0, 67, 0
2, 535, Note_on_c, 0, 70, 64
2, 540, Note_on_c, 0, 68, 0
2, 550, Note_on_c, 0, 70, 0
2, 558, Control_c, 0, 64, 0
2, 559, Note_on_c, 0, 72, 70
2, 566, Control_c, 0, 64, 127
2, 585, Note_on_c, 0, 72, 0
2, 587, Note_on_c, 0, 73, 60
2, 603, Note_on_c, 0, 75, 64
2, 610, Note_on_c, 0, 73, 0
2, 624, Note_on_c, 0, 75, 0
2, 636, Note_on_c, 0, 77, 65
2, 661, Note_on_c, 0, 77, 0
2, 662, Note_on_c, 0, 79, 57
2, 679, Note_on_c, 0, 80, 48
2, 685, Note_on_c, 0, 79, 0
2, 702, Note_on_c, 0, 80, 0
2, 705, Note_on_c, 0, 82, 53
2, 722, Note_on_c, 0, 82, 0
2, 737, Note_on_c, 0, 84, 52
2, 746, Note_on_c, 0, 84, 0
2, 764, Note_on_c, 0, 85, 48
2, 776, Note_on_c, 0, 85, 0
2, 790, Note_on_c, 0, 87, 39
2, 800, Note_on_c, 0, 87, 0
2, 814, Note_on_c, 0, 89, 36
2, 839, Note_on_c, 0, 89, 0
2, 848, Note_on_c, 0, 91, 36
2, 860, Note_on_c, 0, 61, 43
2, 861, Note_on_c, 0, 91, 0
2, 861, Note_on_c, 0, 92, 42
2, 890, Note_on_c, 0, 63, 0
2, 892, Note_on_c, 0, 94, 51
2, 902, Note_on_c, 0, 92, 0
2, 917, Note_on_c, 0, 60, 53
2, 918, Note_on_c, 0, 61, 0
2, 924, Note_on_c, 0, 96, 52
2, 925, Note_on_c, 0, 94, 0
2, 969, Note_on_c, 0, 91, 47
2, 976, Note_on_c, 0, 60, 0
2, 976, Note_on_c, 0, 53, 61
2, 1032, Note_on_c, 0, 53, 0
2, 1045, Note_on_c, 0, 96, 0
2, 1056, Note_on_c, 0, 53, 59
2, 1056, Note_on_c, 0, 94, 56
2, 1060, Control_c, 0, 64, 0
2, 1071, Note_on_c, 0, 91, 0
2, 1074, Control_c, 0, 64, 127
2, 1136, Note_on_c, 0, 46, 72
2, 1138, Note_on_c, 0, 89, 27
2, 1145, Note_on_c, 0, 53, 0
2, 1157, Note_on_c, 0, 94, 0
2, 1191, Control_c, 0, 64, 0
2, 1199, Control_c, 0, 64, 127
2, 1216, Note_on_c, 0, 53, 70
2, 1230, Note_on_c, 0, 89, 0
2, 1231, Note_on_c, 0, 46, 0
2, 1239, Note_on_c, 0, 87, 52
2, 1298, Note_on_c, 0, 53, 0
2, 1305, Note_on_c, 0, 60, 75
2, 1341, Note_on_c, 0, 84, 34
2, 1343, Note_on_c, 0, 87, 0
2, 1401, Note_on_c, 0, 61, 79
2, 1412, Note_on_c, 0, 84, 0
2, 1413, Note_on_c, 0, 60, 0
2, 1470, Note_on_c, 0, 61, 0
2, 1503, Note_on_c, 0, 63, 82
2, 1520, Control_c, 0, 64, 0
2, 1548, Control_c, 0, 64, 127
2, 1617, Note_on_c, 0, 61, 60
2, 1624, Note_on_c, 0, 63, 0
2, 1736, Note_on_c, 0, 61, 0
2, 1742, Note_on_c, 0, 60, 60
2, 1776, Note_on_c, 0, 60, 0
2, 2260, Note_on_c, 0, 44, 48
2, 2394, Note_on_c, 0, 44, 0
2, 2421, Note_on_c, 0, 42, 55
2, 2448, Control_c, 0, 64, 0
2, 2511, Control_c, 0, 64, 127
2, 2587, Note_on_c, 0, 49, 39
2, 2610, Note_on_c, 0, 64, 4
2, 2616, Note_on_c, 0, 42, 0
2, 2685, Note_on_c, 0, 66, 45
2, 2694, Note_on_c, 0, 56, 54
