0, 0, Header, 1, 6, 120
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Text_t, "Doug McK\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 363636
1, 0, Marker_t, "Form  - 'A' section is Dm11 (D dorian). Bridge is B7sus (B mixolydian)"
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "'Effendi' By McCoy Tyner sequenced by Doug McKenzie"
2, 0, Program_c, 1, 32
2, 559, Note_on_c, 1, 38, 27
2, 584, Note_on_c, 1, 38, 0
2, 605, Note_on_c, 1, 43, 50
2, 639, Note_on_c, 1, 43, 0
2, 681, Note_on_c, 1, 47, 70
2, 728, Note_on_c, 1, 47, 0
2, 732, Note_on_c, 1, 45, 60
2, 833, Note_on_c, 1, 45, 0
2, 846, Note_on_c, 1, 48, 67
2, 908, Note_on_c, 1, 48, 0
2, 925, Note_on_c, 1, 50, 92
2, 998, Pitch_bend_c, 1, 8192
2, 1000, Pitch_bend_c, 1, 8192
2, 1002, Pitch_bend_c, 1, 8192
2, 1004, Pitch_bend_c, 1, 8192
2, 1007, Pitch_bend_c, 1, 7680
2, 1009, Pitch_bend_c, 1, 7552
2, 1011, Pitch_bend_c, 1, 7296
2, 1013, Pitch_bend_c, 1, 7168
2, 1014, Pitch_bend_c, 1, 7040
2, 1015, Pitch_bend_c, 1, 6912
2, 1016, Pitch_bend_c, 1, 6784
2, 1019, Pitch_bend_c, 1, 6528
2, 1022, Pitch_bend_c, 1, 6272
2, 1023, Pitch_bend_c, 1, 6144
2, 1024, Pitch_bend_c, 1, 6016
2, 1025, Pitch_bend_c, 1, 5888
2, 1028, Pitch_bend_c, 1, 5760
2, 1029, Pitch_bend_c, 1, 5632
2, 1031, Pitch_bend_c, 1, 5504
2, 1034, Pitch_bend_c, 1, 5120
2, 1036, Pitch_bend_c, 1, 4992
2, 1039, Pitch_bend_c, 1, 4736
2, 1041, Pitch_bend_c, 1, 4608
2, 1045, Pitch_bend_c, 1, 4352
2, 1046, Pitch_bend_c, 1, 4224
2, 1047, Pitch_bend_c, 1, 4096
2, 1048, Pitch_bend_c, 1, 3968
2, 1051, Pitch_bend_c, 1, 3840
2, 1053, Pitch_bend_c, 1, 3584
2, 1056, Pitch_bend_c, 1, 3456
2, 1057, Note_on_c, 1, 50, 0
2, 1059, Pitch_bend_c, 1, 3328
2, 1060, Pitch_bend_c, 1, 3200
2, 1063, Pitch_bend_c, 1, 2944
2, 1064, Pitch_bend_c, 1, 2816
2, 1065, Pitch_bend_c, 1, 2688
2, 1068, Pitch_bend_c, 1, 2560
2, 1070, Pitch_bend_c, 1, 2304
2, 1073, Pitch_bend_c, 1, 2176
2, 1074, Pitch_bend_c, 1, 2048
2, 1075, Pitch_bend_c, 1, 1920
2, 1078, Pitch_bend_c, 1, 1792
2, 1081, Pitch_bend_c, 1, 1664
2, 1083, Pitch_bend_c, 1, 1536
2, 1090, Pitch_bend_c, 1, 1408
2, 1096, Pitch_bend_c, 1, 1536
2, 1098, Pitch_bend_c, 1, 1664
2, 1100, Pitch_bend_c, 1, 1920
2, 1101, Pitch_bend_c, 1, 2048
2, 1103, Pitch_bend_c, 1, 2304
2, 1104, Pitch_bend_c, 1, 2432
2, 1105, Pitch_bend_c, 1, 2816
2, 1107, Pitch_bend_c, 1, 3328
2, 1108, Pitch_bend_c, 1, 4096
2, 1109, Pitch_bend_c, 1, 4864
2, 1110, Pitch_bend_c, 1, 5760
2, 1112, Pitch_bend_c, 1, 6528
2, 1113, Pitch_bend_c, 1, 6912
2, 1114, Pitch_bend_c, 1, 7168
2, 1116, Pitch_bend_c, 1, 7424
2, 1117, Pitch_bend_c, 1, 7552
2, 1118, Pitch_bend_c, 1, 8192
2, 1119, Pitch_bend_c, 1, 8192
2, 1120, Pitch_bend_c, 1, 8192
2, 1754, Note_on_c, 1, 38, 59
2, 1778, Note_on_c, 1, 38, 0
2, 1805, Note_on_c, 1, 43, 54
2, 1825, Note_on_c, 1, 43, 0
2, 1876, Note_on_c, 1, 48, 101
2, 1914, Note_on_c, 1, 48, 0
2, 1925, Note_on_c, 1, 47, 96
2, 2034, Note_on_c, 1, 47, 0
2, 2043, Note_on_c, 1, 48, 75
2, 2114, Note_on_c, 1, 48, 0
2, 2117, Note_on_c, 1, 45, 90
2, 2269, Note_on_c, 1, 45, 0
2, 2478, Note_on_c, 1, 38, 49
2, 2499, Note_on_c, 1, 38, 0
2, 2526, Note_on_c, 1, 41, 48
2, 2535, Note_on_c, 1, 41, 0
2, 2599, Note_on_c, 1, 45, 99
2, 2633, Note_on_c, 1, 45, 0
2, 2645, Note_on_c, 1, 43, 99
2, 2706, Note_on_c, 1, 43, 0
2, 2719, Note_on_c, 1, 43, 50
2, 2763, Note_on_c, 1, 43, 0
2, 2766, Note_on_c, 1, 45, 81
2, 2833, Note_on_c, 1, 45, 0
2, 2839, Note_on_c, 1, 43, 101
2, 2906, Pitch_bend_c, 1, 8192
2, 2909, Pitch_bend_c, 1, 8192
2, 2912, Pitch_bend_c, 1, 8192
2, 2919, Pitch_bend_c, 1, 8192
2, 2929, Pitch_bend_c, 1, 7680
