0, 0, Header, 1, 3, 960
1, 0, Start_track
1, 0, Title_t, "Sometime ago"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 600000
1, 2880, Marker_t, "First Chorus Rubato solo piano"
1, 37832, Marker_t, "LH plays down chromatically under 4ths in RH follow melody"
1, 65716, Marker_t, "On Ebm7/Ab7 an ascending Db scale"
1, 101912, Marker_t, "Melody harmonised in 3rds"
1, 120038, Marker_t, "Run on Bb7#11 - LH plays Ab,Bb & RH arpeggiates a C Maj triad"
1, 267480, Marker_t, "Bass in"
1, 309076, Marker_t, "Phrase uses Db Major scale in 3rds on Ebm7/Ab7"
1, 311040, Marker_t, "Then C Major scale in 3rds on Dm7/G7"
1, 371520, Marker_t, "Bass solo"
1, 515526, Marker_t, "LH plays LH voicings / RH harmonises Db  scale  using octaves and pfct  5ths"
1, 518261, Marker_t, "Same thing on G7sus using C Major scale"
1, 574432, Marker_t, "RH plays C Maj scale -3rds in pairs - but rhythm is triplets"
1, 574432, End_track
2, 0, Start_track
2, 0, Title_t, "Piano"
2, 0, Program_c, 0, 0
2, 2, Control_c, 0, 64, 127
2, 483, Control_c, 0, 64, 0
2, 803, Control_c, 0, 64, 127
2, 2823, Control_c, 0, 64, 0
2, 2885, Note_on_c, 0, 79, 70
2, 2899, Note_on_c, 0, 24, 53
2, 2914, Note_on_c, 0, 36, 44
2, 3018, Control_c, 0, 64, 127
2, 3043, Note_on_c, 0, 24, 0
2, 3141, Note_on_c, 0, 36, 0
2, 3887, Note_on_c, 0, 83, 84
2, 3898, Note_on_c, 0, 64, 60
2, 3914, Note_on_c, 0, 60, 53
2, 3928, Note_on_c, 0, 59, 56
2, 3965, Note_on_c, 0, 79, 0
2, 4376, Note_on_c, 0, 59, 0
2, 4379, Note_on_c, 0, 60, 0
2, 4435, Note_on_c, 0, 64, 0
2, 4608, Note_on_c, 0, 83, 0
2, 4715, Note_on_c, 0, 64, 54
2, 4719, Note_on_c, 0, 60, 45
2, 4730, Note_on_c, 0, 86, 77
2, 4760, Note_on_c, 0, 59, 38
2, 5055, Note_on_c, 0, 86, 0
2, 5072, Note_on_c, 0, 60, 0
2, 5096, Note_on_c, 0, 59, 0
2, 5101, Note_on_c, 0, 64, 0
2, 5895, Note_on_c, 0, 77, 53
2, 5904, Note_on_c, 0, 65, 34
2, 5909, Note_on_c, 0, 55, 29
2, 5911, Note_on_c, 0, 69, 38
2, 5923, Note_on_c, 0, 60, 39
2, 5930, Note_on_c, 0, 72, 46
2, 5941, Note_on_c, 0, 57, 42
2, 5952, Control_c, 0, 64, 0
2, 6258, Control_c, 0, 64, 127
2, 6363, Note_on_c, 0, 69, 0
2, 6443, Note_on_c, 0, 72, 0
2, 6483, Note_on_c, 0, 77, 0
2, 7194, Note_on_c, 0, 101, 34
2, 7251, Note_on_c, 0, 89, 50
2, 8280, Note_on_c, 0, 101, 0
2, 8573, Note_on_c, 0, 89, 0
2, 9259, Note_on_c, 0, 60, 0
2, 9283, Note_on_c, 0, 65, 0
2, 9410, Note_on_c, 0, 57, 0
2, 9506, Note_on_c, 0, 55, 0
2, 10459, Note_on_c, 0, 81, 80
2, 10464, Note_on_c, 0, 57, 60
2, 10904, Note_on_c, 0, 81, 0
2, 10957, Note_on_c, 0, 57, 0
2, 11184, Note_on_c, 0, 58, 37
2, 11184, Note_on_c, 0, 82, 27
2, 11360, Note_on_c, 0, 83, 74
2, 11360, Note_on_c, 0, 59, 36
2, 11362, Note_on_c, 0, 82, 0
2, 11362, Note_on_c, 0, 58, 0
2, 11549, Note_on_c, 0, 83, 0
