0, 0, Header, 1, 4, 960
1, 0, Start_track
1, 0, Title_t, "The Song Is You - trio version"
1, 0, Text_t, "Doug McKenzie  - all parts live played\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 333333
1, 0, Marker_t, "Melody  in big blocks - Red Garland style"
1, 25536, Marker_t, "Close position block - LH doubles melody -"
1, 26880, Marker_t, "sometimes does single note chromatic conection  of  chords"
1, 31085, Marker_t, "Now melody with LH 'stabs' using rootless voicings"
1, 75055, Marker_t, "Close position block chords"
1, 96576, Marker_t, "Whole Tone scale (descending augmented triads)"
1, 104168, Marker_t, "More blocks - close position"
1, 119040, Marker_t, "White note glissando on Dm7/G7"
1, 179378, Marker_t, "On Eb7alt, descending augmented triads in RH"
1, 198406, Marker_t, "'Surround' the target melody note"
1, 203899, Marker_t, "'Surround' the next one too!"
1, 216469, Marker_t, "Red Garland style Block chords"
1, 219156, Marker_t, "i.e. RH Plays octaves often with perfect 5th or other chord tones  between"
1, 222720, Marker_t, "LH plays rootless voicings phrased WITH the RHand "
1, 376942, Marker_t, "Simple phrase "
1, 384000, Marker_t, "Phrase echo-ed with changes to match new chord"
1, 511432, Marker_t, "On Db6, ascending chromatic leading tones on diatonic 3rds"
1, 560779, Marker_t, "Descending line in Red Garland style block chords follows harmony"
1, 609688, Marker_t, "Block chords mainly in close position.- some in 'drop 2'"
1, 676704, Marker_t, "Back to main theme on last 16"
1, 714240, Marker_t, "Tremolo on Red Garland voicings"
1, 714240, End_track
2, 0, Start_track
2, 0, Title_t, "MIDI 1"
2, 0, Control_c, 0, 64, 127
2, 69, Note_on_c, 0, 60, 33
2, 71, Note_on_c, 0, 63, 36
2, 102, Note_on_c, 0, 79, 48
2, 102, Note_on_c, 0, 67, 43
2, 135, Note_on_c, 0, 72, 38
2, 156, Note_on_c, 0, 58, 33
2, 161, Note_on_c, 0, 75, 37
2, 168, Note_on_c, 0, 53, 32
2, 526, Control_c, 0, 64, 0
2, 985, Control_c, 0, 64, 127
2, 1254, Note_on_c, 0, 67, 0
2, 1376, Note_on_c, 0, 79, 0
2, 1421, Note_on_c, 0, 53, 0
2, 1461, Note_on_c, 0, 58, 0
2, 1481, Note_on_c, 0, 63, 0
2, 1488, Note_on_c, 0, 60, 0
2, 1586, Note_on_c, 0, 72, 0
2, 1670, Note_on_c, 0, 75, 0
2, 1972, Control_c, 0, 64, 0
2, 1977, Note_on_c, 0, 63, 51
2, 1979, Note_on_c, 0, 80, 53
2, 2031, Note_on_c, 0, 68, 34
2, 2039, Note_on_c, 0, 72, 38
2, 2061, Note_on_c, 0, 60, 22
2, 2074, Note_on_c, 0, 75, 34
2, 2096, Note_on_c, 0, 58, 26
2, 2241, Note_on_c, 0, 68, 0
2, 2249, Note_on_c, 0, 72, 0
2, 2297, Note_on_c, 0, 60, 0
2, 2303, Note_on_c, 0, 58, 0
2, 2305, Note_on_c, 0, 63, 0
2, 2346, Note_on_c, 0, 75, 0
2, 2369, Note_on_c, 0, 80, 0
2, 3497, Note_on_c, 0, 60, 41
2, 3510, Note_on_c, 0, 79, 55
2, 3533, Note_on_c, 0, 63, 52
2, 3533, Note_on_c, 0, 67, 65
2, 3543, Note_on_c, 0, 75, 47
2, 3616, Note_on_c, 0, 77, 27
2, 3723, Note_on_c, 0, 77, 0
2, 3726, Note_on_c, 0, 67, 0
2, 3746, Note_on_c, 0, 63, 0
2, 3751, Note_on_c, 0, 79, 0
2, 3759, Note_on_c, 0, 60, 0
2, 3790, Note_on_c, 0, 75, 0
2, 3951, Note_on_c, 0, 62, 61
2, 3961, Note_on_c, 0, 79, 48
2, 3973, Note_on_c, 0, 53, 36
2, 3994, Note_on_c, 0, 67, 36
2, 4032, Note_on_c, 0, 56, 50
2, 4073, Note_on_c, 0, 59, 29
2, 4348, Note_on_c, 0, 79, 0
2, 4391, Note_on_c, 0, 67, 0
2, 4483, Note_on_c, 0, 56, 0
2, 4483, Note_on_c, 0, 53, 0
2, 4483, Note_on_c, 0, 59, 0
2, 4539, Note_on_c, 0, 62, 0
2, 5371, Note_on_c, 0, 80, 67
2, 5381, Note_on_c, 0, 68, 64
2, 5420, Note_on_c, 0, 74, 58
2, 5430, Note_on_c, 0, 62, 68
2, 5435, Note_on_c, 0, 56, 56
2, 5438, Note_on_c, 0, 59, 57
2, 5507, Note_on_c, 0, 74, 0
2, 5509, Note_on_c, 0, 68, 0
2, 5514, Note_on_c, 0, 62, 0
2, 5561, Note_on_c, 0, 59, 0
2, 5595, Note_on_c, 0, 56, 0
2, 5664, Note_on_c, 0, 80, 0
2, 6324, Note_on_c, 0, 79, 68
2, 6370, Note_on_c, 0, 67, 57
2, 6396, Note_on_c, 0, 56, 40
2, 6398, Note_on_c, 0, 62, 60
2, 6447, Note_on_c, 0, 59, 26
2, 6654, Note_on_c, 0, 59, 0
2, 6707, Control_c, 0, 64, 127
2, 6746, Note_on_c, 0, 56, 0
2, 7133, Note_on_c, 0, 67, 0
2, 7146, Note_on_c, 0, 62, 0
2, 7299, Note_on_c, 0, 79, 0
2, 7478, Control_c, 0, 64, 0
2, 7617, Note_on_c, 0, 61, 42
2, 7632, Note_on_c, 0, 65, 33
2, 7640, Note_on_c, 0, 73, 35
2, 7658, Note_on_c, 0, 60, 22
2, 7671, Note_on_c, 0, 56, 32
2, 8041, Note_on_c, 0, 73, 0
2, 8139, Note_on_c, 0, 75, 37
2, 8308, Note_on_c, 0, 73, 25
2, 8495, Note_on_c, 0, 75, 0
2, 8564, Note_on_c, 0, 65, 0
2, 8574, Note_on_c, 0, 72, 37
2, 8727, Note_on_c, 0, 60, 0
2, 8815, Note_on_c, 0, 73, 0
2, 8925, Note_on_c, 0, 56, 0
2, 9045, Note_on_c, 0, 61, 0
2, 9173, Note_on_c, 0, 72, 0
2, 9296, Note_on_c, 0, 73, 55
2, 9405, Note_on_c, 0, 61, 32
2, 9434, Note_on_c, 0, 65, 33
2, 9471, Note_on_c, 0, 73, 0
2, 9478, Note_on_c, 0, 60, 22
2, 9573, Note_on_c, 0, 65, 0
2, 9609, Note_on_c, 0, 60, 0
2, 9695, Note_on_c, 0, 61, 0
2, 11167, Note_on_c, 0, 61, 47
2, 11175, Note_on_c, 0, 65, 52
2, 11269, Note_on_c, 0, 65, 0
2, 11387, Note_on_c, 0, 61, 0
2, 12580, Control_c, 0, 64, 127
2, 13183, Note_on_c, 0, 61, 59
2, 13224, Control_c, 0, 64, 0
2, 13270, Note_on_c, 0, 61, 0
2, 13418, Note_on_c, 0, 89, 84
2, 13423, Note_on_c, 0, 82, 83
2, 13428, Note_on_c, 0, 77, 89
2, 13446, Note_on_c, 0, 85, 68
2, 13449, Note_on_c, 0, 55, 71
2, 13451, Note_on_c, 0, 61, 75
2, 13477, Note_on_c, 0, 65, 68
2, 13498, Note_on_c, 0, 88, 36
2, 13605, Note_on_c, 0, 88, 0
2, 13779, Note_on_c, 0, 77, 0
2, 13792, Note_on_c, 0, 82, 0
2, 13797, Note_on_c, 0, 65, 0
2, 13846, Note_on_c, 0, 89, 0
2, 13853, Note_on_c, 0, 55, 0
2, 13899, Note_on_c, 0, 61, 0
2, 13910, Note_on_c, 0, 85, 0
2, 14358, Note_on_c, 0, 88, 77
2, 14360, Note_on_c, 0, 61, 68
2, 14370, Note_on_c, 0, 82, 76
2, 14370, Note_on_c, 0, 55, 71
2, 14386, Note_on_c, 0, 76, 73
2, 14394, Note_on_c, 0, 65, 66
2, 14601, Note_on_c, 0, 65, 0
2, 14724, Note_on_c, 0, 55, 0
2, 14765, Note_on_c, 0, 76, 0
2, 14803, Note_on_c, 0, 88, 0
2, 14847, Note_on_c, 0, 82, 0
2, 14859, Note_on_c, 0, 61, 0
2, 15341, Note_on_c, 0, 60, 55
2, 15343, Note_on_c, 0, 87, 69
2, 15354, Note_on_c, 0, 63, 65
2, 15364, Note_on_c, 0, 75, 68
2, 15379, Note_on_c, 0, 82, 62
2, 15415, Note_on_c, 0, 58, 40
2, 15428, Note_on_c, 0, 53, 39
2, 15484, Control_c, 0, 64, 127
2, 16388, Note_on_c, 0, 53, 0
2, 16452, Note_on_c, 0, 75, 0
2, 16559, Note_on_c, 0, 60, 0
2, 16567, Note_on_c, 0, 87, 0
2, 16587, Note_on_c, 0, 82, 0
2, 16616, Note_on_c, 0, 58, 0
2, 16669, Note_on_c, 0, 63, 0
2, 17204, Control_c, 0, 64, 0
2, 17307, Note_on_c, 0, 63, 71
2, 17332, Note_on_c, 0, 53, 60
2, 17340, Note_on_c, 0, 89, 69
2, 17343, Note_on_c, 0, 77, 65
2, 17353, Note_on_c, 0, 84, 66
2, 17373, Note_on_c, 0, 58, 51
2, 17793, Note_on_c, 0, 53, 0
2, 17796, Note_on_c, 0, 89, 0
2, 17824, Note_on_c, 0, 77, 0
2, 17842, Note_on_c, 0, 63, 0
2, 17850, Note_on_c, 0, 84, 0
2, 17878, Note_on_c, 0, 58, 0
2, 17978, Note_on_c, 0, 89, 62
2, 18021, Note_on_c, 0, 77, 58
2, 18026, Note_on_c, 0, 84, 66
2, 18042, Note_on_c, 0, 63, 58
2, 18075, Note_on_c, 0, 53, 36
