0, 0, Header, 1, 7, 120
1, 0, Start_track
1, 0, Title_t, "There will never be another you"
1, 0, Text_t, "dougmck@pipeline.com.au - markers are comments on things that might be of interest especially to piano players.\012"
1, 0, Text_t, "Played in real time - demonstrates development of melodic or rhythmic motifs\012"
1, 0, Text_t, " \012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 333333
1, 1920, Marker_t, "Play each melody note twice"
1, 5225, Marker_t, "Staccato 'Stabs' with LH are just ahead of beats 1 and 3 - and anticipate each new chord"
1, 7886, Marker_t, "More melody notes played twice "
1, 9328, Marker_t, "Red Garland type of voicing -LH plays standard rootless voicing - RH plays Octaves with (usually) perfect 5th"
1, 20487, Marker_t, "Notes in pairs - descend down appropriate scale"
1, 23146, Marker_t, "F7#11 - 0r G/F"
1, 23242, Marker_t, "Figure based on G triad target tones linked with chromatic coonecting tones"
1, 24480, Marker_t, "Dim scale on Bb7 - continues across barlines before resolving"
1, 35854, Marker_t, "On Eb7 chord - Dim scale in 16th notes"
1, 37106, Marker_t, "A rhythmic idea - chord tones and lower diatonic neighbour - same rhythm continues up then back down"
1, 37980, Marker_t, "Phrase increases in Volume and thickness of voicing"
1, 40350, Marker_t, "A little melodic phrase on EbMaj7"
1, 41433, Marker_t, "Same idea carried into new position with Dm7b5-G7alt chord"
1, 42205, Marker_t, "Idea continues  over Cm"
1, 47907, Marker_t, "5th(Bb) and upper neighbour"
1, 48328, Marker_t, "Surround the 3rd (G)"
1, 51151, Marker_t, "Pairs of notes made into a rhythm and carried down"
1, 53973, Marker_t, "Art Tatum type run - G/F - G triad has Black notes under each triad note - so this is easy to execute"
1, 61986, Marker_t, "More 'Red Garland' type voicings"
1, 63241, Marker_t, "Usinf George Shearing type block harmony - RH plays chord under melody and LH doubles melody below"
1, 71520, Marker_t, "Back to theme"
1, 71520, End_track
2, 0, Start_track
2, 0, End_track
3, 0, Start_track
3, 0, Control_c, 0, 0, 0
3, 0, Control_c, 0, 7, 113
3, 0, Control_c, 0, 32, 0
3, 0, Program_c, 0, 0
3, 4, Note_on_c, 0, 70, 67
3, 8, Note_on_c, 0, 62, 31
