0, 0, Header, 1, 17, 240
1, 0, Start_track
1, 0, Title_t, "JustYou,JustMe"
1, 0, Text_t, "Song is played sort of 'tongue-in-cheek'  - deliberately staccato/syncopated in a stilted old fashioned way\012"
1, 0, Text_t, "Jessica Williams plays it disguised as a tune called ""Justice'(=Just Us=JustYou, Just Me) on her solo 'Gratitude' CD\012"
1, 0, System_exclusive, 5, 126, 127, 9, 1, 247
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 487805
1, 0, Marker_t, "Played with a very light touch on piano - "
1, 6227, Marker_t, "Blues Scale phrase on turnaround to 2nd 8 bars"
1, 6729, Marker_t, "No sustain pedal used on next 30 bars!"
1, 8811, Marker_t, "RH 'drumming' triplet pattern on octaves"
1, 10060, Marker_t, "On Gm7, surround the root, up to the 3rd, then arpeggiate a D7 chord"
1, 12909, Marker_t, "Notes from B diminished chord"
1, 13166, Marker_t, "Played with both R and Left hands"
1, 16503, Marker_t, "Quite easy run to execute on F7"
1, 16587, Marker_t, "Eb(3)G(5)Eb(3)C(2)A(Thumb)Ab(3)G(Thm)Gb(3)F(2)E(Thumb)"
1, 17280, Marker_t, "Arpeggiate BbMaj9th "
1, 17641, Marker_t, "Brief ascending Gb Major scale"
1, 18240, Marker_t, "Resolves back to Bb"
1, 27083, Marker_t, "Rh octaves, LH in unison 3 octaves below"
1, 30893, Marker_t, "All played staccato - kind of 'tongue in cheek'"
1, 35958, Marker_t, "Block chords - locked hands - LH plays 'drop 2'"
1, 44254, Marker_t, "Another Bluesy lick on turnaraound"
1, 45028, Marker_t, "Oscar Peterson - like single bass note on the dominant with grace note"
1, 45881, Marker_t, "Phrase based on F7 with neighbouring tones, chromatic connections and surround tones on the final note F"
1, 47993, Marker_t, "On Bb chord, ascending Gb Major scale for a a bar, then resolves back in key"
1, 50517, Marker_t, "Nice phrase based on alternating chord tones - with upper or lower Neighbours"
1, 63829, Marker_t, "Each note is repeated but played in triplet rhythm "
1, 68218, Marker_t, "On F triad same chord-tone-with-neighbour-tones as above at bar 53"
1, 75962, Marker_t, "Oscar Peterson-like percussive bass notes again   - on 5th with grace note(s)"
1, 84480, Marker_t, "Return to theme"
1, 84480, End_track
2, 0, Start_track
2, 0, Title_t, "Piano"
2, 0, Control_c, 0, 7, 100
2, 4, Note_on_c, 0, 62, 47
2, 4, Note_on_c, 0, 57, 31
2, 6, Note_on_c, 0, 67, 18
2, 6, Note_on_c, 0, 72, 55
2, 245, Control_c, 0, 64, 127
2, 489, Note_on_c, 0, 67, 0
2, 490, Note_on_c, 0, 62, 0
2, 508, Note_on_c, 0, 57, 0
2, 600, Note_on_c, 0, 72, 0
2, 881, Note_on_c, 0, 60, 37
2, 883, Note_on_c, 0, 65, 66
2, 883, Note_on_c, 0, 84, 85
2, 886, Note_on_c, 0, 72, 77
2, 888, Note_on_c, 0, 61, 52
2, 891, Note_on_c, 0, 55, 44
2, 915, Note_on_c, 0, 60, 0
2, 927, Note_on_c, 0, 55, 0
2, 937, Note_on_c, 0, 65, 0
2, 944, Note_on_c, 0, 72, 0
2, 950, Note_on_c, 0, 84, 0
2, 962, Note_on_c, 0, 61, 0
2, 984, Control_c, 0, 64, 0
2, 985, Note_on_c, 0, 74, 61
2, 986, Note_on_c, 0, 64, 55
2, 987, Note_on_c, 0, 86, 71
2, 988, Note_on_c, 0, 81, 58
2, 989, Note_on_c, 0, 60, 46
2, 990, Note_on_c, 0, 54, 56
2, 1090, Note_on_c, 0, 54, 0
2, 1093, Note_on_c, 0, 81, 0
2, 1095, Note_on_c, 0, 86, 0
2, 1095, Note_on_c, 0, 74, 0
2, 1096, Note_on_c, 0, 64, 0
2, 1096, Note_on_c, 0, 60, 0
2, 1600, Note_on_c, 0, 26, 36
2, 1621, Note_on_c, 0, 26, 0
2, 1677, Note_on_c, 0, 54, 29
2, 1680, Note_on_c, 0, 62, 34
2, 1683, Note_on_c, 0, 38, 19
2, 1685, Note_on_c, 0, 57, 34
2, 1708, Note_on_c, 0, 57, 0
2, 1713, Note_on_c, 0, 54, 0
2, 1715, Note_on_c, 0, 38, 0
2, 1717, Note_on_c, 0, 62, 0
2, 1910, Note_on_c, 0, 43, 36
2, 1914, Note_on_c, 0, 62, 34
2, 1918, Note_on_c, 0, 53, 22
2, 1921, Note_on_c, 0, 58, 25
2, 1928, Note_on_c, 0, 55, 28
2, 1949, Note_on_c, 0, 55, 0
2, 1950, Note_on_c, 0, 53, 0
2, 1961, Note_on_c, 0, 62, 0
2, 1974, Note_on_c, 0, 43, 0
2, 1974, Note_on_c, 0, 58, 0
2, 2215, Control_c, 0, 64, 127
2, 2398, Control_c, 0, 64, 0
2, 2644, Note_on_c, 0, 82, 57
2, 2646, Note_on_c, 0, 57, 40
2, 2646, Note_on_c, 0, 62, 43
2, 2649, Note_on_c, 0, 70, 43
2, 2649, Note_on_c, 0, 77, 50
2, 2650, Note_on_c, 0, 58, 44
2, 2686, Note_on_c, 0, 57, 0
2, 2689, Note_on_c, 0, 62, 0
2, 2690, Note_on_c, 0, 77, 0
2, 2691, Note_on_c, 0, 70, 0
2, 2699, Note_on_c, 0, 82, 0
2, 2702, Note_on_c, 0, 58, 0
2, 2886, Note_on_c, 0, 84, 49
2, 2888, Note_on_c, 0, 76, 37
2, 2888, Note_on_c, 0, 80, 38
2, 2891, Note_on_c, 0, 58, 45
2, 2895, Note_on_c, 0, 64, 32
2, 2933, Note_on_c, 0, 80, 0
2, 2933, Note_on_c, 0, 84, 0
2, 2933, Note_on_c, 0, 76, 0
2, 2937, Note_on_c, 0, 64, 0
2, 2945, Note_on_c, 0, 58, 0
2, 3358, Note_on_c, 0, 68, 47
2, 3359, Note_on_c, 0, 72, 51
2, 3360, Note_on_c, 0, 58, 35
2, 3370, Note_on_c, 0, 48, 25
2, 3373, Note_on_c, 0, 72, 0
2, 3383, Note_on_c, 0, 68, 0
2, 3384, Note_on_c, 0, 58, 0
2, 3385, Note_on_c, 0, 48, 0
2, 3520, Note_on_c, 0, 68, 39
2, 3524, Note_on_c, 0, 58, 37
2, 3527, Note_on_c, 0, 61, 46
2, 3529, Note_on_c, 0, 64, 44
2, 3531, Note_on_c, 0, 48, 43
2, 3589, Control_c, 0, 64, 127
2, 3618, Note_on_c, 0, 48, 0
2, 3690, Note_on_c, 0, 64, 0
2, 3693, Note_on_c, 0, 68, 0
2, 3727, Note_on_c, 0, 58, 0
2, 3758, Note_on_c, 0, 61, 0
2, 3832, Control_c, 0, 64, 0
2, 3840, Note_on_c, 0, 65, 37
2, 3847, Note_on_c, 0, 57, 27
2, 3850, Note_on_c, 0, 29, 20
2, 3851, Note_on_c, 0, 60, 32
2, 3870, Note_on_c, 0, 60, 0
2, 3872, Note_on_c, 0, 57, 0
2, 3883, Note_on_c, 0, 65, 0
2, 3927, Note_on_c, 0, 29, 0
2, 4319, Note_on_c, 0, 69, 36
2, 4320, Note_on_c, 0, 63, 34
2, 4323, Note_on_c, 0, 57, 29
2, 4331, Note_on_c, 0, 45, 26
2, 4400, Note_on_c, 0, 57, 0
2, 4401, Note_on_c, 0, 45, 0
2, 4401, Note_on_c, 0, 69, 0
2, 4407, Note_on_c, 0, 63, 0
2, 4564, Note_on_c, 0, 33, 49
2, 4633, Note_on_c, 0, 33, 0
2, 4799, Note_on_c, 0, 34, 46
2, 4801, Note_on_c, 0, 69, 34
2, 4802, Note_on_c, 0, 57, 30
2, 4804, Note_on_c, 0, 62, 41
2, 4806, Note_on_c, 0, 46, 29
2, 4809, Note_on_c, 0, 65, 34
2, 4833, Note_on_c, 0, 57, 0
2, 4837, Note_on_c, 0, 34, 0
2, 4843, Note_on_c, 0, 65, 0
2, 4851, Note_on_c, 0, 62, 0
2, 4853, Note_on_c, 0, 46, 0
2, 4874, Note_on_c, 0, 69, 0
2, 4965, Note_on_c, 0, 55, 60
2, 4968, Note_on_c, 0, 69, 64
2, 4969, Note_on_c, 0, 62, 62
2, 4970, Note_on_c, 0, 65, 54
2, 4971, Note_on_c, 0, 72, 62
2, 4975, Note_on_c, 0, 57, 64
2, 4976, Note_on_c, 0, 55, 0
2, 5054, Control_c, 0, 64, 127
2, 5321, Note_on_c, 0, 69, 0
2, 5336, Note_on_c, 0, 57, 0
2, 5337, Note_on_c, 0, 62, 0
2, 5350, Note_on_c, 0, 72, 0
2, 5361, Note_on_c, 0, 65, 0
2, 5445, Note_on_c, 0, 70, 53
2, 5446, Note_on_c, 0, 56, 43
2, 5452, Note_on_c, 0, 47, 35
2, 5454, Control_c, 0, 64, 0
2, 5454, Note_on_c, 0, 65, 40
2, 5455, Note_on_c, 0, 61, 30
2, 5468, Note_on_c, 0, 65, 0
2, 5476, Note_on_c, 0, 61, 0
2, 5477, Note_on_c, 0, 47, 0
2, 5485, Note_on_c, 0, 56, 0
2, 5496, Note_on_c, 0, 70, 0
2, 5533, Note_on_c, 0, 71, 60
2, 5537, Note_on_c, 0, 56, 40
2, 5538, Note_on_c, 0, 47, 46
2, 5542, Note_on_c, 0, 68, 50
2, 5542, Note_on_c, 0, 65, 45
2, 5558, Note_on_c, 0, 65, 0
2, 5565, Note_on_c, 0, 68, 0
2, 5568, Note_on_c, 0, 71, 0
2, 5572, Note_on_c, 0, 47, 0
2, 5573, Note_on_c, 0, 56, 0
2, 5673, Control_c, 0, 64, 127
2, 5682, Note_on_c, 0, 47, 60
2, 5686, Note_on_c, 0, 56, 49
