0, 0, Header, 1, 3, 120
1, 0, Start_track
1, 0, Title_t, "YouTookAdvantage OfMe"
1, 0, Text_t, "Doug McKenzie\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 966651
1, 120, Tempo, 712504
1, 240, Tempo, 787505
1, 360, Tempo, 762486
1, 480, Tempo, 791661
1, 600, Tempo, 774994
1, 720, Tempo, 762486
1, 840, Tempo, 758342
1, 960, Tempo, 875018
1, 1080, Tempo, 779120
1, 1200, Tempo, 762486
1, 1320, Tempo, 770812
1, 1440, Tempo, 837521
1, 1560, Tempo, 845785
1, 1680, Tempo, 816660
1, 1920, Tempo, 800000
1, 2040, Tempo, 812458
1, 2160, Tempo, 791661
1, 2280, Tempo, 820793
1, 2400, Tempo, 875018
1, 2520, Tempo, 841633
1, 2640, Tempo, 870827
1, 2760, Tempo, 800000
1, 2880, Tempo, 791661
1, 3000, Tempo, 879121
1, 3120, Tempo, 783290
1, 3240, Tempo, 795862
1, 3360, Tempo, 833333
1, 3480, Tempo, 820793
1, 3600, Tempo, 870827
1, 3840, Tempo, 808299
1, 3960, Tempo, 816660
1, 4200, Tempo, 804182
1, 4320, Tempo, 816660
1, 4440, Tempo, 824969
1, 4560, Tempo, 820793
1, 4680, Tempo, 824969
1, 4800, Tempo, 791661
1, 4920, Tempo, 824969
1, 5040, Tempo, 804182
1, 5160, Tempo, 845785
1, 5280, Tempo, 829187
1, 5400, Tempo, 808299
1, 5520, Tempo, 800000
1, 5640, Tempo, 762486
1, 5760, Tempo, 754148
1, 5880, Tempo, 870827
1, 6000, Tempo, 833333
1, 6120, Tempo, 837521
1, 6240, Tempo, 925069
1, 6360, Tempo, 895790
1, 6480, Tempo, 837521
1, 6600, Tempo, 770812
1, 6720, Tempo, 804182
1, 6840, Tempo, 820793
1, 6960, Tempo, 779120
1, 7080, Tempo, 808299
1, 7200, Tempo, 804182
1, 7320, Tempo, 750000
1, 7440, Tempo, 816660
1, 7560, Tempo, 774994
1, 7680, Tempo, 745805
1, 7800, Tempo, 787505
1, 7920, Tempo, 812458
1, 8040, Tempo, 820793
1, 8160, Tempo, 870827
1, 8280, Tempo, 833333
1, 8400, Tempo, 849979
1, 8520, Tempo, 879121
1, 8640, Tempo, 816660
1, 8760, Tempo, 858369
1, 8880, Tempo, 841633
1, 9000, Tempo, 829187
1, 9120, Tempo, 841633
1, 9240, Tempo, 820793
1, 9360, Tempo, 887443
1, 9480, Tempo, 849979
1, 9600, Tempo, 820793
1, 9720, Tempo, 812458
1, 9840, Tempo, 854214
1, 9960, Tempo, 829187
1, 10080, Tempo, 891663
1, 10200, Tempo, 783290
1, 10320, Tempo, 870827
1, 10440, Tempo, 866676
1, 10560, Tempo, 858369
1, 10680, Tempo, 862441
1, 10800, Tempo, 904159
1, 10920, Tempo, 854214
1, 11040, Tempo, 829187
1, 11160, Tempo, 875018
1, 11280, Tempo, 837521
1, 11400, Tempo, 920810
1, 11520, Tempo, 933271
1, 11760, Tempo, 824969
1, 11880, Tempo, 879121
1, 12000, Tempo, 883392
1, 12120, Tempo, 887443
1, 12240, Tempo, 766675
1, 12360, Tempo, 862441
1, 12480, Tempo, 870827
1, 12600, Tempo, 866676
1, 12720, Tempo, 820793
1, 12840, Tempo, 883392
1, 12960, Tempo, 804182
1, 13080, Tempo, 841633
1, 13200, Tempo, 837521
1, 13320, Tempo, 854214
1, 13440, Tempo, 908265
1, 13560, Tempo, 866676
1, 13680, Tempo, 891663
1, 13800, Tempo, 829187
1, 13920, Tempo, 849979
1, 14040, Tempo, 879121
1, 14160, Tempo, 887443
1, 14280, Tempo, 858369
1, 14400, Tempo, 904159
1, 14520, Tempo, 849979
1, 14640, Tempo, 899955
1, 14760, Tempo, 883392
1, 14880, Tempo, 837521
1, 15000, Tempo, 883392
1, 15120, Tempo, 891663
1, 15240, Tempo, 849979
1, 15360, Tempo, 791661
1, 15480, Tempo, 916730
1, 15600, Tempo, 883392
1, 15720, Tempo, 820793
1, 15840, Tempo, 862441
1, 15960, Tempo, 895790
1, 16080, Tempo, 891663
1, 16200, Tempo, 837521
1, 16320, Tempo, 829187
1, 16440, Tempo, 795862
1, 16560, Tempo, 824969
1, 16680, Tempo, 829187
1, 16800, Tempo, 820793
1, 16920, Tempo, 879121
1, 17040, Tempo, 833333
1, 17160, Tempo, 737463
1, 17280, Tempo, 833333
1, 17400, Tempo, 974976
1, 17520, Tempo, 866676
1, 17640, Tempo, 875018
1, 17760, Tempo, 829187
1, 17880, Tempo, 866676
1, 18000, Tempo, 879121
1, 18120, Tempo, 870827
1, 18240, Tempo, 883392
1, 18360, Tempo, 816660
1, 18480, Tempo, 829187
1, 18600, Tempo, 858369
1, 18720, Tempo, 862441
1, 18840, Tempo, 866676
1, 18960, Tempo, 879121
1, 19080, Tempo, 854214
1, 19200, Tempo, 970874
1, 19320, Tempo, 866676
1, 19440, Tempo, 904159
1, 19560, Tempo, 879121
1, 19680, Tempo, 841633
1, 19800, Tempo, 887443
1, 19920, Tempo, 766675
1, 20040, Tempo, 895790
1, 20160, Tempo, 845785
1, 20280, Tempo, 862441
1, 20400, Tempo, 816660
1, 20520, Tempo, 787505
1, 20640, Tempo, 875018
1, 20760, Tempo, 854214
1, 20880, Tempo, 925069
1, 21000, Tempo, 862441
1, 21240, Tempo, 824969
1, 21360, Tempo, 862441
1, 21480, Tempo, 887443
1, 21600, Tempo, 879121
1, 21720, Tempo, 854214
1, 21840, Tempo, 841633
1, 21960, Tempo, 870827
1, 22200, Tempo, 954198
1, 22320, Tempo, 887443
1, 22440, Tempo, 925069
1, 22560, Tempo, 945776
1, 22680, Tempo, 845785
1, 22920, Tempo, 829187
1, 23040, Tempo, 858369
1, 23280, Tempo, 862441
1, 23400, Tempo, 849979
1, 23520, Tempo, 829187
1, 23640, Tempo, 883392
1, 23760, Tempo, 870827
1, 23880, Tempo, 833333
1, 24000, Tempo, 849979
1, 24120, Tempo, 829187
1, 24240, Tempo, 816660
1, 24360, Tempo, 787505
1, 24480, Tempo, 774994
1, 24600, Tempo, 758342
1, 24720, Tempo, 804182
1, 24840, Tempo, 812458
1, 24960, Tempo, 729129
